cons,date_position,employee_type,pros,rating,review
"Long hours varying schedule no AC,Understaffing issues negatively affects all parts of their business. However, Walmart has increased their minimum hourly rate with hopes to attract more committed employees, and retain better employees.,Generally the whole business strucutre in terms of managemnt/leadership.
Sometimes impolite customers but Online Pickup and Delivery (OPD) customers are generally better than the sales floor customers.

Dispensing can and will get tiring, sometimes it feels like people be ordering the whole store. 9/10 times a customer's item in an order will be substituted. Our job is 100% reliant on technology, if there are system shut downs it's gonna be a long day.

Team leads are constantly nagging you to stay busy. Sometimes making you do busywork. 

getting pulled to do stocking or do front-end returns.

Working at Walmart in general has a high turnover. I don't recommend working for Walmart for a long time. No one ever stays long enough to get good at what they do.,Work is life... don't have a family or personal issues as a manager. LOA's frowned on and while obviously never said out loud puts a target on you, and constant pressure to be always available. 
With ""app driven"" leadership seeing less and less family and personnel time. As you are always connected and can never disconnect. 24 hours/364 (you get Christmas off unless your overnight),Network infrastructure both within the store and on the network overall could use some upgrades. WIFI signal near the outer walls could use boosting, as well as network processing times when querying seemed to lack even during off-peak times.,If you donâ€™t play into the politics or the system of the store, youâ€™re gonna get screwed. There is a lot of favoritism and lots of people donâ€™f like playing by the book. Depending on the area (specifically service areas like OGP or Automotive), you will get crumby hours to fit the needs of the department and if you close, youâ€™re likely going to be one of the few closers who do it well or enjoy doing it. Long-term, I would not stick here unless youâ€™re in a higher-up position or competitive.,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,Safety at some locations is a low priority, especially at retail side.
Manager expectations can be extreme and unclear. They only have a broad task time that doesn't acount for how fast you actually work. With por management this can be a problem for new hires. I had a write up for production in my first month of working here with out a clear explanation. 
I had no problem with production at my dc job and was able to average 50 to 70% above the 100% expectation. Wich is much harder to do than stock shelves.
If you work at Walmart it can be a gamble of whether management will be fair with you.,1. There are times when a mod takes longer than expected and youâ€™re sometimes required to stay and finish after youâ€™re scheduled shift end.
2. Time is of essence and youâ€™re always under time constraints so you can put yourself under constant pressure.
3. Some mods can be outright disgusting when you start taking them apart (be prepared for old chicken wing bones).,LOTS of layoffs. I had my roles eliminated 3 times in 7 years. 
Employee experience varies widely. Some teams are great, some are bad. Onboarding as an external candidate is really hard, especially because it's so big. 
Getting promoted within the company can be really challenging. I had a terrible time in every role , even when I was really successful in role. 
Plays favorites. A select few are very successful and the rest of overworked and undervalued. 
They also blatantly try to keep your wages as low as possible. 
I never felt valued for my contributions or work. 
Treats their employees like cogs in a machine. 
Performance evaluations are biased, unhelpful, and frustrating. 
Culture is so operations and action focused that strategy can go out the window. Lots of people spend most of their capacity on short term, high stress, crisis problem solving. 
So fast paced and understaffed that every job is designed to be 1.5-2 jobs. Achieving anything and being recognized for your contributions is really hard.
Workaholic culture. It's better then it used to be but still high stress.","Oct 16, 2021 - Order Filler,Jun 2, 2015 - Assistant Store Manager,Oct 5, 2021 - Online Personal Shopper,Oct 15, 2021 - Store Manager,Sep 21, 2021 - Department Manager,Oct 10, 2021 - Anonymous Employee,Oct 16, 2021 - Online Grocery Pickup Associate,Oct 3, 2021 - Over Night Stocker/Night Crew,Oct 9, 2021 - Modular Team Associate,Sep 22, 2021 - Project Manager","Current Employee,Former Employee, less than 1 year,Current Employee, less than 1 year,Former Employee,Former Employee, more than 1 year,Former Employee, more than 3 years,Former Employee, less than 1 year,Current Employee,Former Employee, more than 5 years,Former Employee","Will loose weight very quickly,Advancement opportunities, great at developing skills, great place to learn a skill and grow your resume, or grow with the company.,$14 an hour starting pay.
Depending on what role they have you some are easier than others. 
- Dispensing: Bring the order out to the customer.
- Staging: You help organize the location of customers' orders for the dispensers.
- Picking: You go out throughout the store and pick the customer's orders. 

Our store is not always running at full capacity and we have to shut down because we simply do not have enough people. 

There really aren't that many pros other than $14 an hr.,promotional opportunities are plentiful 
Several good benefits including 401k, stock share, etc. 
Compensation for management fair,Associates are one big family, who were always willing to assist when needed.,If you make friends easily and are fine with being cross-trained, itâ€™s a great place to work. Their 401k plans and disability insurance are great. The people make the company what it is and you will meet some amazing people here. For short-term or college students, this is a great place to work. Iâ€™ve met some of my best friends here and the environment is so much fun when your coworkers are your friends.,The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,Benefits and pay can be very great all around. The distribution center I transferred from was a great facility. The % quotas can seem extreme at first, but as you work for the dc longer they seem more fair. Especially as a order filler.,1. Although youâ€™re part of a team, you do have plenty of individual assignments if you like to work independently. 
2. Role allows you to set the  foundation of the whole store - you get to set new product categories and updates and learn about [potentially] exciting changes before most people. 
3. The whole store is your domain so be prepared to move from automotive oil one night to frozen dinners the next.,People are typically nice and polite. I've met some amazing people. I loved the culture of servant leadership from the top. 
Can get exposed to a lot of different subjects/industries.
Some areas have great teams and work cultures.
Doug, the CEO, seems really great and can help employees feel bought into the mission. 
Does some great Corporate Responsibility and Diversity, Equity, and Inclusion work.","5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0","Feet killer,From an Asst Store Manager,Can get overwhelming at times but decent pay,Fast promotional opportunity, but not family oriented,Each location has it's own attributes, I happen to be in a great location!,Itâ€™s All a Gameâ€¦ Just Play It Well,Walmart OGP Review,Results may vary,Great role for detail oriented person getting their start in retail.,It's hard to recommend, but it could be worse I guess..."
cons,date_position,employee_type,pros,rating,review
"Long hours varying schedule no AC,A lot of work with minimal time,Lunch time clock brakes been,No set schedule, constantly changing,The work can sometimes get overwhelming when you feel as though you are the only one putting in the efforts to successfully satisfy the customer,The point system sucks lol,Mandatory overtime, special during the holidays.,No cons at all !,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,Stressful at times; customers can be difficult to deal with; no recognition of hard work","Oct 16, 2021 - Order Filler,Oct 16, 2021 - Pharmacist,Oct 16, 2021 - Area Manager,Oct 16, 2021 - Sales Associate,Oct 16, 2021 - Personal Shopper,Oct 16, 2021 - Overnight Stocker,Oct 16, 2021 - Walmart Warehouse Associate,Oct 16, 2021 - Plumber,Oct 16, 2021 - Online Grocery Pickup Associate,Oct 16, 2021 - Personal Shopper","Current Employee,Former Employee,Current Employee, more than 1 year,Former Employee,Former Employee, more than 1 year,Current Employee,Current Employee,Former Employee, more than 8 years,Former Employee, less than 1 year,Current Employee","Will loose weight very quickly,Hard work but great benefits,Pay benefits pay insurance employees,Team work is valuable & respected,Flexibility, positive environment, constant change in challenges,Decent pay super nice people,They care about you! Great benefits!,Greaty Pay Great Hours Great Owners,The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,Decent pay; good hours & benefits; room to grow within the company; supportive management","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","Feet killer,Great benefits,Busy,Satisfied,Good Option,Pay,Great Company,Great People,Walmart OGP Review,Good hours, pay, & benefits; stressful at times"
cons,date_position,employee_type,pros,rating,review
"Long hours varying schedule no AC,A lot of work with minimal time,Lunch time clock brakes been,No set schedule, constantly changing,The work can sometimes get overwhelming when you feel as though you are the only one putting in the efforts to successfully satisfy the customer,The point system sucks lol,Mandatory overtime, special during the holidays.,No cons at all !,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,Stressful at times; customers can be difficult to deal with; no recognition of hard work","Oct 16, 2021 - Order Filler,Oct 16, 2021 - Pharmacist,Oct 16, 2021 - Area Manager,Oct 16, 2021 - Sales Associate,Oct 16, 2021 - Personal Shopper,Oct 16, 2021 - Overnight Stocker,Oct 16, 2021 - Walmart Warehouse Associate,Oct 16, 2021 - Plumber,Oct 16, 2021 - Online Grocery Pickup Associate,Oct 16, 2021 - Personal Shopper","Current Employee,Former Employee,Current Employee, more than 1 year,Former Employee,Former Employee, more than 1 year,Current Employee,Current Employee,Former Employee, more than 8 years,Former Employee, less than 1 year,Current Employee","Will loose weight very quickly,Hard work but great benefits,Pay benefits pay insurance employees,Team work is valuable & respected,Flexibility, positive environment, constant change in challenges,Decent pay super nice people,They care about you! Great benefits!,Greaty Pay Great Hours Great Owners,The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,Decent pay; good hours & benefits; room to grow within the company; supportive management","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","Feet killer,Great benefits,Busy,Satisfied,Good Option,Pay,Great Company,Great People,Walmart OGP Review,Good hours, pay, & benefits; stressful at times"
"Long hours varying schedule no AC,A lot of work with minimal time,Lunch time clock brakes been,No set schedule, constantly changing,The work can sometimes get overwhelming when you feel as though you are the only one putting in the efforts to successfully satisfy the customer,The point system sucks lol,Mandatory overtime, special during the holidays.,No cons at all !,There were at times when people would call out of work or we would be short staffed and orders were continuing to come in. It was fast paced so you had to always be doing something.,Stressful at times; customers can be difficult to deal with; no recognition of hard work","Oct 16, 2021 - Order Filler,Oct 16, 2021 - Pharmacist,Oct 16, 2021 - Area Manager,Oct 16, 2021 - Sales Associate,Oct 16, 2021 - Personal Shopper,Oct 16, 2021 - Overnight Stocker,Oct 16, 2021 - Walmart Warehouse Associate,Oct 16, 2021 - Plumber,Oct 16, 2021 - Online Grocery Pickup Associate,Oct 16, 2021 - Personal Shopper","Current Employee,Former Employee,Current Employee, more than 1 year,Former Employee,Former Employee, more than 1 year,Current Employee,Current Employee,Former Employee, more than 8 years,Former Employee, less than 1 year,Current Employee","Will loose weight very quickly,Hard work but great benefits,Pay benefits pay insurance employees,Team work is valuable & respected,Flexibility, positive environment, constant change in challenges,Decent pay super nice people,They care about you! Great benefits!,Greaty Pay Great Hours Great Owners,The pay was good for a summer job. The coworkers were good people to be around and work with. I worked morning shifts from 6am to 3pm.,Decent pay; good hours & benefits; room to grow within the company; supportive management","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","Feet killer,Great benefits,Busy,Satisfied,Good Option,Pay,Great Company,Great People,Walmart OGP Review,Good hours, pay, & benefits; stressful at times"
"No room to advance upwards.,Bad management from higher ups are lazy.,Long hours and rude customers.,Sedgwick insurance company is bad,Long hours but irs cab be managle,When the day is slow,Can get busy at the drop of a hat, customer can be a bit unhinged at times.,Rude attitudes
Low Maintenance 
Not organized,No training in the pharmacy,A lot of work with minimal time","Oct 16, 2021 - Pharmacy Technician,Oct 15, 2021 - Service Technician,Oct 15, 2021 - Apparel Sales Associate,Oct 15, 2021 - Associate,Oct 15, 2021 - Sales Advisor,Oct 15, 2021 - Sales Associate/Cashier,Oct 15, 2021 - ECommerce Personal Shopper,Oct 15, 2021 - Part Time Cashier,Oct 15, 2021 - Pharmacy Technician,Oct 16, 2021 - Pharmacist","Current Employee,Current Employee, less than 1 year,Current Employee, more than 1 year,Current Employee, less than 1 year,Current Employee,Current Employee,Former Employee, less than 1 year,Current Employee, less than 1 year,Current Employee, less than 1 year,Former Employee","Decent pay.
Good hours,.
Flexible scheduling. 
Ability to take time off.,Great job and company to work for.,They have a good salary and good people.,Easy job for new workers,Good teamwork and excelent team,Get to interact with people,Great people, benefits, and employee friendly practices.,Very clean
Great environment
Got paid well,Great benefits and flexible hours.,Hard work but great benefits","4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","Not a lot of room to grow.,Yeah,A very good position,Deli,Good,My experience,Great friendly environment,Cashier experience,Really great,Great benefits"
"â€¢Rude customers
â€¢Can be stressful
â€¢management can make or break store,Hours can be very long,Management
Rate
Everything is on a rush basis,Hard for employees to advance,Most of the Management employees does not have a degree at all instead they have seniority in order to get to management.,You never just work one department,Not a great working energy,People in the job donâ€™t like to help when possible,Management is very bad very,not a good environment sadly","Oct 15, 2021 - Sales Associate,Oct 15, 2021 - Academy Coach,Oct 16, 2021 - E-commerce,Oct 14, 2021 - Stocker,Oct 14, 2021 - Digital Coach Manager,Oct 14, 2021 - Cashier,Oct 14, 2021 - Sales Associate/Cashier,Oct 15, 2021 - Technician,Oct 15, 2021 - Sales Associate,Oct 14, 2021 - R&M Maintenance Supervisor","Current Employee, more than 5 years,Current Employee, more than 10 years,Former Employee, more than 1 year,Current Employee,Current Employee, more than 1 year,Current Employee, more than 3 years,Former Employee, more than 1 year,Former Employee,Current Employee, more than 1 year,Current Employee","â€¢Store culture
â€¢Good pay
â€¢Easy to move up in company,Innovative 
Excellent career growth potential
Excellent benefits
Fast paced environment,Breaks Benefits One hour lunch Experience Uniforms,Nice environment to work in,Benefits is good. Lots of room to grow.,Benefits, good hours, good promotion,Ok health insurance for the pay,Money was good and easy job,Good benefits along with good collaboration with management on hours,good working place thank you","4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0","It's what you make it,Walmart Employment,Job,Good Place,Internet Connectivity issues!,Cashier,Yes,Work,Job summary,Good"
"Disorganized departments. lack of communication.,Long hours for management. Being an employee or supervisor is a better job. Code white medical emergencies of customers. Too much for me.,experience depends on management and co-workers,Ton of work, itâ€™s crazy,Some managers don't communicate professionally, the biggest problem is everyone wants to be a store manager. Communication is the main problem.,A little repetitive at times,Management was a mess at times. A lot of changes occurred without any heads-up.,everyoneâ€™s annoying when youâ€™re trying to finish picking quickly and people are bothering u,Location is not ideal
For young people,Depending on where you're located, the shifts can be very long, but the fat pace helps the day go by","Oct 14, 2021 - Anonymous Employee,Oct 14, 2021 - Assistant Manager,Oct 14, 2021 - Shelf Stocker,Oct 14, 2021 - Stocker,Oct 14, 2021 - Customer Service Associate,Oct 14, 2021 - Personal Shopper/OGP,Oct 14, 2021 - Stocking TA,Oct 14, 2021 - Personal Shopper/OGP,Oct 13, 2021 - Software Engineer,Oct 13, 2021 - Certified Pharmacy Technician","Former Employee,Former Employee, more than 1 year,Former Employee, less than 1 year,Current Employee,Current Employee,Current Employee,Former Employee, less than 1 year,Current Employee,Former Employee,Current Employee, more than 1 year","Great people with flexible hours.,Good company for stability. Company has a lot of growth opportunities.,flexible hours, decent pay especially for younger people,Itâ€™s alright if Iâ€™m being honest,Hours, benefits, PTO, etc. if you are in school they will work around your school schedule, you can be trained anywhere or transfer where ever you need to relocate.,Flexible hours for high schoolers,I had good co-workers who I could get along with.,itâ€™s not that big of a headache when not understaffed,Nice people
Good pay
Learn a lot,Walmart will pay for you to become certified within the first year of hire. Also will cover travel pay and cost of certifications","4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0","Cashier,Good Company,It's a good first job,Eh,Team Associate,Pretty good,It was fine for the most part.,it is what it is,Good,Great Pay"
"-Perferred to work in 4 hour blocks
-Customers,We are out of stock of a lot of things sometimes,Hard work, short breaks, no a/c,Long hours of footage review,Sometimes unrealistic expectations from night shift,would get very busy often times, always on my feet,- Lack of Management
- Shifting Hours
- Benefits were lacking,The feedback given to leadership doesnâ€™t really matter,None that I can think of, honestly.,The pay wage was low","Oct 13, 2021 - Part Time Cashier,Oct 13, 2021 - Cart Attendant,Oct 13, 2021 - DC Order Filler,Oct 13, 2021 - Asset Protection Associate,Oct 14, 2021 - Stock Associate,Oct 14, 2021 - Online Grocery Pickup,Oct 14, 2021 - Sales Associate,Oct 14, 2021 - Customer Service Associate,Oct 14, 2021 - Cashier,Oct 14, 2021 - Cashier","Current Employee,Former Employee, less than 1 year,Current Employee, more than 1 year,Current Employee,Current Employee,Current Employee, more than 1 year,Former Employee, less than 1 year,Former Employee,Former Employee,Current Employee","-Flexible hours
-Good Benifits
-Good Pay
-Loose dress code,Fun, easy , nice people and a good all around workplace,I am respected as an employee
Great pay and benefits
Free college
Multiple career opportunities,An amazing environment and fun job,Very clear instructions, good training,pay is really good for a starting job
breaks could be better,- Relatable co-workers
- Understanding Management
- Fair Pay
- Diverse,Very good structure and job is reliable,Very friendly, flexible work days, good pay.,I liked the environment was nice","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","Good place to start.,Great store,Great company,Asset protection,Nice overall,Good starter job,Great First Job,Awdsome,I don't know,Great"
"going into a not organized warehouse,1 day off a week. 
Must work 1 day every weekend.
Pay is not individual to work ethic.  You are paid the same. Performance & work load is not  considered.,Thrown under the bus by incapable managers who are safe because they are friends with the people above them,People who donâ€™t look for things,Poor Management. Understaffed. Unrealistic expectations,Management is difficult
Customers
Coworkers may not consistently do their jobs,During the holidays it gets crazy.,Long hrs employees Are very rude,Not always good interactions with customers,Expected to do a lot of multiply talking always short staff. Overtime not allowed.","Oct 14, 2021 - Apparel Associate,Oct 13, 2021 - Front End Team Lead,Oct 13, 2021 - Deli/Bakery Associate,Oct 13, 2021 - Order Filler,Oct 13, 2021 - Electronics Associate,Oct 13, 2021 - Sales Associate Lawn and Garden,Oct 13, 2021 - Online Grocery Pickup Associate,Oct 13, 2021 - Assistant Manager,Oct 13, 2021 - Cashier,Oct 13, 2021 - Certified Pharmacy Technician","Former Employee,Current Employee,Former Employee, more than 1 year,Current Employee,Current Employee,Current Employee, more than 3 years,Current Employee, less than 1 year,Current Employee,Current Employee, less than 1 year,Current Employee, more than 5 years","stocking my area in a timely manner,Self growth in Leadership
Encourage Opportunities available 
Company puts value in your skills,The work is pretty simple and the fast pace makes your shift go by fast,Donâ€™t have to communicate with people,Good money. Many benefits stable job.,Low skill requirement
Easy tasks
Busy
Friendly co-workers
Good pay for an easy job,The pay is amazing starting at $14-17 an hour.,Good pay and good benefits,Constantly something to do throughout the day,Good benefits and pay was average then","5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0","I want to be a sales associate,My company has great benefits. Some examples: PTO, structure, College, mental  & physical coverage! 
Career growth!,Good job for the most part,Cool,Okay,Walmart isn't too terible,Good pay,They money might not be worth it,Worked at the front,Good benefits"
"Customer an get a little bitter,Schedule was too much with school,work too much and its busy,Pay was not commensurate with the work,Management can be a pain in the a** sometimes and co workers do not communicate well.,Sometimes low staffing levels are frustrating, but these are crazy times everywhere.,It all depends on the store you are working in. The environment difference from store to store. Turnover rate is massive.,yeah and yeah and yeah,Flexibility in scheduling employees according to life style.,No cons at Walmart I can think of","Oct 13, 2021 - Automotive Technician,Oct 13, 2021 - Customer Service Representative,Oct 13, 2021 - Stocker,Oct 13, 2021 - Cashier,Oct 13, 2021 - Over Night Stocker,Oct 14, 2021 - Anonymous Employee,Oct 12, 2021 - Front End Coach,Oct 12, 2021 - Anonymous Employee,Oct 12, 2021 - Anonymous Employee,Oct 12, 2021 - Anonymous Employee","Current Employee, more than 1 year,Former Employee,Former Employee, less than 1 year,Current Employee,Current Employee, less than 1 year,Current Employee, more than 3 years,Current Employee, more than 10 years,Current Employee,Current Employee, more than 1 year,Current Employee, less than 1 year","Hours are great. Coworkers are friendly,The benefits and people were great,okay work schedule and pay,Multiple jobs within the stores,Listen to music, hour long lunch + 2, 15min breaks, and no customers.,Flexible hours and fun people to work with.,Company has excellent advancement opportunities, benefits and is flexible with scheduling in my position.,cool and nice and fun,Great staff works as a family.,Everything is good at Walmart","4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0","Great,Okay,eh,Review,N/A,Walmart is a lot better than you would think,It's all about the store you work in,hey,Good,Cashier"
"Not many monies left for wife,I didnâ€™t like my co workers,Life balance
Time consuming 
Training
Inventory management 
Patience,Environment, pay, place, pay, location,There are slow days sometimes,High turnover rate at times,None that I can think of.,a lot of people asking you questions,Busy very very busy ðŸ™‚,Poor leadership, commitment, communications, tools for best performance, organization, consistency","Oct 12, 2021 - Cashier,Oct 12, 2021 - Walmart Cashier,Oct 12, 2021 - Store Manager,Oct 12, 2021 - Car Technician,Oct 12, 2021 - Stocker,Oct 12, 2021 - Product Analyst,Oct 12, 2021 - Cashier,Oct 13, 2021 - Customer Service Representative,Oct 13, 2021 - Sales Associate/Cashier,Oct 13, 2021 - Remodeling","Former Employee,Former Employee,Current Employee,Current Employee,Current Employee,Former Employee,Former Employee, less than 1 year,Current Employee, more than 1 year,Former Employee, more than 1 year,Current Employee","Nice people for work with,It was great and fun,Challenging, Resources, Benefits, Rewarding, Pay, People leadership,Schedule, time, work, benefits, coworker,Theyâ€™re excellent people, great environment, and pay,Big company and lots of opportunities,Salary 
Keeps you busy
Everyone I worked with was kind and made it easier to have to go to work,on your feet and moving a lot and time goes by fast,You can retire and helping out at the same time,Learning and Development 
Employee Resources
Diversity","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","So much good like,Good,Store,A,Pretty good,Awesome,I loved working at Walmart!,Nice place to work,great company benefits,Actually a good employer!"
"On your feet all day,No cons to this company,The pay that they give you hourly,The customers and managers are rude,The dwindling reimbursement rates and tighter profit margins in pharmacy are creating a more difficult market and environment for pharmacists, and Walmart isnâ€™t big enough to offset this.,Rude managers, randomized hours, working through holidays.,takes their time to attend customers,They dont give you a start discount,Under staffed on overnight shift. Day shift left to complete stocking,The App that employee uses not that good and feel outdated","Oct 13, 2021 - Online Grocery Pickup Associate,Oct 13, 2021 - Sales Associate/Cashier,Oct 12, 2021 - Backroom IMS,Oct 12, 2021 - Cashier,Oct 12, 2021 - Pharmacist,Oct 12, 2021 - Front End Cashier,Oct 12, 2021 - Sales Associate/Cashier,Oct 12, 2021 - Sales Floor Associate,Oct 12, 2021 - Team Lead,Oct 12, 2021 - Anonymous Employee","Former Employee, less than 1 year,Current Employee,Former Employee, more than 3 years,Current Employee,Current Employee, less than 1 year,Former Employee, less than 1 year,Current Employee,Former Employee, less than 1 year,Current Employee, more than 1 year,Former Employee","Very flexible and everyone is nice and outgoing,Flexible hours, good pay, great managment,The people you work with,Not sure they like to take advantage,WalMart has an exceptional Health & Wellness division that offers a variety of pharmacist roles. You can move up in the company, but openings are limited.,Benefits for full time, usually have friendly staff, clean facilities.,they are nice and kind,They are pretty good with bonus pay and you can advance quickly,Benefits - Fully paid college degree,co-workers are really nice and willing to help","5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0","Short lived,Good pay,Good job,They are ok,Good Employer, butâ€¦,Exactly what you'd expect.,good service,Bonous pay,Team Lead Position,Not bad"
"Not a whole lot of cons if you know what to expect,Standing up on concrete for 10 hours, cannot sit down except for 2- 20 min breaks. Donâ€™t always get your full 10 hr day, it depends on customers online orders; but sometimes thatâ€™s nice!,I was given way more hours than I wanted and was told they would not give me less,The work hours - even for an office position, were really bad and decreased significantly my work-life balance.,No MyShare, weird schedules, old equipment.,walmart politics can cause stress.,the job might get a little hetic,I Was only hired temporarily.,Walmart is the greatest stores ever,It sometimes had long work hours","Oct 12, 2021 - Anonymous Employee,Oct 13, 2021 - Shipping Clerk,Oct 13, 2021 - Cashier,Oct 13, 2021 - People Lead (HR Generalist),Oct 13, 2021 - Retail Associate,Oct 13, 2021 - Asset Protection Associate,Oct 11, 2021 - Management,Oct 11, 2021 - Stock Associate,Oct 11, 2021 - Stocker,Oct 11, 2021 - Front End Cashier","Former Employee, more than 3 years,Current Employee, more than 1 year,Former Employee, less than 1 year,Current Employee, more than 1 year,Current Employee, more than 1 year,Current Employee, more than 3 years,Current Employee,Current Employee,Current Employee,Current Employee, more than 1 year","Great company to work for, much better than it used to be,Company takes care of their workers, feeds us, parties. Seem to care about the employees. Opportunity for advancement within the company. Love working 4 day a week/ 10 hr shifts and having a 3 day weekend.,Got hours, competitive pay, fast paced,I loved working for people. My main pro is that I was lucky enough to work in a store with a great management team that cared about its employees. In a work environment like Walmart, caring about the employees is essential.,Pay, Health Insurance, Dental Insurance, free college (online only), Paid Time Off.,lots of freedom during your day to do what you want to get done,good experience and job opportunity,The hours were good and stable.,I like shopping at Walmart,The ability to meet new people","4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0","Great,Shipping clerk,Would return to work for this company,It has its good and its bad,Join for the pay, Stay for the benefits,Stable,good place to work,Review,What can I say the best,Cashier"
